date,precip_mm,year
2012-01-01,0,2012
2012-01-02,0,2012
2012-01-03,0,2012
2012-01-04,0,2012
2012-01-05,0,2012
2012-01-06,0,2012
2012-01-07,0,2012
2012-01-08,0,2012
2012-01-09,0,2012
2012-01-10,0,2012
2012-01-11,0.762,2012
2012-01-12,0,2012
2012-01-13,0,2012
2012-01-14,0.508,2012
2012-01-15,0,2012
2012-01-16,0,2012
2012-01-17,0.762,2012
2012-01-18,0,2012
2012-01-19,0,2012
2012-01-20,2.794,2012
2012-01-21,0,2012
2012-01-22,2.54,2012
2012-01-23,1.016,2012
2012-01-24,0,2012
2012-01-25,0,2012
2012-01-26,0,2012
2012-01-27,1.016,2012
2012-01-28,0,2012
2012-01-29,0,2012
2012-01-30,0,2012
2012-01-31,0,2012
2012-02-01,0,2012
2012-02-02,0,2012
2012-02-03,1.524,2012
2012-02-04,1.524,2012
2012-02-05,0,2012
2012-02-06,0,2012
2012-02-07,0,2012
2012-02-08,0,2012
2012-02-09,0,2012
2012-02-10,0,2012
2012-02-11,0,2012
2012-02-12,0,2012
2012-02-13,2.032,2012
2012-02-14,0,2012
2012-02-15,0,2012
2012-02-16,0,2012
2012-02-17,0,2012
2012-02-18,0,2012
2012-02-19,0,2012
2012-02-20,7.62,2012
2012-02-21,0.762,2012
2012-02-22,0,2012
2012-02-23,6.8580000000000005,2012
2012-02-24,0.254,2012
2012-02-25,0,2012
2012-02-26,0,2012
2012-02-27,0,2012
2012-02-28,14.224,2012
2012-02-29,3.81,2012
2012-03-01,0,2012
2012-03-02,0.762,2012
2012-03-03,0,2012
2012-03-04,4.064,2012
2012-03-05,0,2012
2012-03-06,0,2012
2012-03-07,0,2012
2012-03-08,0,2012
2012-03-09,0,2012
2012-03-10,0,2012
2012-03-11,3.556,2012
2012-03-12,0.508,2012
2012-03-13,0,2012
2012-03-14,0,2012
2012-03-15,0,2012
2012-03-16,0,2012
2012-03-17,0,2012
2012-03-18,0,2012
2012-03-19,16.256,2012
2012-03-20,2.54,2012
2012-03-21,0.762,2012
2012-03-22,3.048,2012
2012-03-23,0,2012
2012-03-24,0,2012
2012-03-25,0,2012
2012-03-26,0,2012
2012-03-27,0,2012
2012-03-28,0,2012
2012-03-29,3.048,2012
2012-03-30,8.89,2012
2012-03-31,0,2012
2012-04-01,0,2012
2012-04-02,0,2012
2012-04-03,0,2012
2012-04-04,0,2012
2012-04-05,0,2012
2012-04-06,0,2012
2012-04-07,1.27,2012
2012-04-08,0,2012
2012-04-09,0,2012
2012-04-10,0,2012
2012-04-11,0,2012
2012-04-12,0,2012
2012-04-13,11.176,2012
2012-04-14,30.733999999999998,2012
2012-04-15,3.81,2012
2012-04-16,0,2012
2012-04-17,0,2012
2012-04-18,4.572,2012
2012-04-19,14.478,2012
2012-04-20,0,2012
2012-04-21,2.286,2012
2012-04-22,0,2012
2012-04-23,0,2012
2012-04-24,0,2012
2012-04-25,0,2012
2012-04-26,0,2012
2012-04-27,3.556,2012
2012-04-28,7.62,2012
2012-04-29,4.8260000000000005,2012
2012-04-30,0,2012
2012-05-01,0,2012
2012-05-02,13.716000000000001,2012
2012-05-03,1.524,2012
2012-05-04,0,2012
2012-05-05,0,2012
2012-05-06,12.7,2012
2012-05-07,0,2012
2012-05-08,0,2012
2012-05-09,0,2012
2012-05-10,0,2012
2012-05-11,0,2012
2012-05-12,0,2012
2012-05-13,0,2012
2012-05-14,0,2012
2012-05-15,0,2012
2012-05-16,0,2012
2012-05-17,0,2012
2012-05-18,0,2012
2012-05-19,1.27,2012
2012-05-20,0,2012
2012-05-21,0,2012
2012-05-22,0,2012
2012-05-23,0,2012
2012-05-24,4.318,2012
2012-05-25,2.54,2012
2012-05-26,0,2012
2012-05-27,0,2012
2012-05-28,1.016,2012
2012-05-29,0,2012
2012-05-30,5.08,2012
2012-05-31,7.62,2012
2012-06-01,0,2012
2012-06-02,0.508,2012
2012-06-03,0.254,2012
2012-06-04,0,2012
2012-06-05,0.508,2012
2012-06-06,0,2012
2012-06-07,0,2012
2012-06-08,0,2012
2012-06-09,0,2012
2012-06-10,4.572,2012
2012-06-11,0.254,2012
2012-06-12,0,2012
2012-06-13,0,2012
2012-06-14,0,2012
2012-06-15,20.828,2012
2012-06-16,0.254,2012
2012-06-17,0,2012
2012-06-18,0,2012
2012-06-19,0,2012
2012-06-20,24.637999999999998,2012
2012-06-21,0,2012
2012-06-22,0,2012
2012-06-23,3.556,2012
2012-06-24,0,2012
2012-06-25,0,2012
2012-06-26,0,2012
2012-06-27,0,2012
2012-06-28,0,2012
2012-06-29,1.016,2012
2012-06-30,0,2012
2012-07-01,0,2012
2012-07-02,0,2012
2012-07-03,0,2012
2012-07-04,0,2012
2012-07-05,1.524,2012
2012-07-06,0,2012
2012-07-07,0,2012
2012-07-08,0,2012
2012-07-09,1.27,2012
2012-07-10,0,2012
2012-07-11,0,2012
2012-07-12,0,2012
2012-07-13,2.032,2012
2012-07-14,0.508,2012
2012-07-15,0,2012
2012-07-16,0,2012
2012-07-17,0,2012
2012-07-18,0,2012
2012-07-19,0,2012
2012-07-20,0,2012
2012-07-21,0,2012
