C_Year,Obs,C_Month,C_Day,C_Hour,C_minute,dw_psp [Wm-2],temp [Co],rh [%],Precip [mm],windspd [ms-1]
2012,1,1,1,0,0,0,1.89,100,0,11.015
2012,2,1,1,1,0,0,2.08,100,0,9.904
2012,3,1,1,2,0,0,1.78,83.78,0,8.682
2012,4,1,1,3,0,0,1.01,50.27,0,7.861
2012,5,1,1,4,0,0,-0.35,100,0,10.735
2012,6,1,1,5,0,0,-1.26,100,0,7.751
2012,7,1,1,6,0,0,-1.71,100,0,8.111
2012,8,1,1,7,0,0,-2.11,99.4,0,7.35
2012,9,1,1,8,0,2.69,-2.52,94.2,0,7.23
2012,10,1,1,9,0,81.56,-2.22,83.6,0,7.35
2012,11,1,1,10,0,219.19,-1.26,76.7,0,8.361
2012,12,1,1,11,0,336.54,-0.31,64.98,0,10.724
2012,13,1,1,12,0,423.99,0.23,58.14,0,11.336
2012,14,1,1,13,0,375.72,0.31,54.47,0,12.738
2012,15,1,1,14,0,171.72,-0.02,56.98,0,11.696
2012,16,1,1,15,0,113.04,-0.61,61.57,0,11.256
2012,17,1,1,16,0,54.36,-0.96,62.99,0,9.633
2012,18,1,1,17,0,11.41,-1.26,65.05,0,10.054
2012,19,1,1,18,0,0,-1.7,66.71,0,10.474
2012,20,1,1,19,0,0,-2.23,67.91,0,9.863
2012,21,1,1,20,0,0,-2.93,74,0,7.03
2012,22,1,1,21,0,0,-3.4,52.33,0,8.071
2012,23,1,1,22,0,0,-3.97,24.65,0,6.773
2012,24,1,1,23,0,0,-4.45,72.64,0,7.1
2012,25,1,2,0,0,0,-4.76,100,0,6.699
2012,26,1,2,1,0,0,-5.22,98,0,6.185
2012,27,1,2,2,0,0,-5.58,99.1,0,6.489
2012,28,1,2,3,0,0,-6.01,85.8,0,7.57
2012,29,1,2,4,0,0,-6.64,80.2,0,8.031
2012,30,1,2,5,0,0,-7.17,82.2,0,7.2
2012,31,1,2,6,0,0,-7.4,82.2,0,6.743
2012,32,1,2,7,0,0,-7.61,81.9,0,7.46
2012,33,1,2,8,0,2.35,-7.98,81.1,0,6.369
2012,34,1,2,9,0,82.36,-7.68,76,0,6.516
2012,35,1,2,10,0,225.69,-7.07,71.2,0,8.642
2012,36,1,2,11,0,338.53,-6.41,62.48,0,7.66
2012,37,1,2,12,0,409.6,-5.36,49.92,0,8.962
2012,38,1,2,13,0,429.69,-4.77,47.51,0,7.961
2012,39,1,2,14,0,392.71,-4.27,43.38,0,7.991
2012,40,1,2,15,0,306.35,-4.17,44.63,0,7.46
2012,41,1,2,16,0,183.61,-4.46,52.56,0,6.268
2012,42,1,2,17,0,43.3,-6.05,63.82,0,4.816
2012,43,1,2,18,0,0,-7.86,72.6,0,2.954
2012,44,1,2,19,0,0,-8.65,77.6,0,2.674
2012,45,1,2,20,0,0,-8.99,78.4,0,1.97
2012,46,1,2,21,0,0,-9.89,65.65,0,2.483
2012,47,1,2,22,0,0,-9.86,30.81,0,3.121
2012,48,1,2,23,0,0,-10.21,100,0,2.403
2012,49,1,3,0,0,0,-10.38,100,0,1.282
2012,50,1,3,1,0,0,-12.11,100,0,0.447
2012,51,1,3,2,0,0,-12.5,100,0,0.447
2012,52,1,3,3,0,0,-12.02,100,0,0.447
2012,53,1,3,4,0,0,-12.84,100,0,0.447
2012,54,1,3,5,0,0,-13.06,100,0,0.865
2012,55,1,3,6,0,0,-12.46,100,0,0.447
2012,56,1,3,7,0,0,-12.7,100,0,1.196
2012,57,1,3,8,0,2.35,-11.93,100,0,2.58
2012,58,1,3,9,0,88.76,-9.97,93.1,0,3.439
2012,59,1,3,10,0,193.61,-7.74,79.9,0,5.695
2012,60,1,3,11,0,328.44,-5.65,70.7,0,5.662
2012,61,1,3,12,0,352.43,-3.43,59.02,0,5.928
2012,62,1,3,13,0,375.52,-1.04,50.67,0,6.696
2012,63,1,3,14,0,377.72,0.63,46.9,0,6.977
2012,64,1,3,15,0,215.99,2.08,44.51,0,6.453
2012,65,1,3,16,0,81.86,2.59,47.92,0,4.069
2012,66,1,3,17,0,15.43,1.88,54.44,0,3.409
2012,67,1,3,18,0,0,0.17,64.79,0,1.252
2012,68,1,3,19,0,0,-0.04,64.49,0,1.109
2012,69,1,3,20,0,0,-1.4,73.7,0,1.943
2012,70,1,3,21,0,0,-2.58,78.5,0,1.332
2012,71,1,3,22,0,0,-2.71,54.32,0,1.96
2012,72,1,3,23,0,0,-2.59,81.22,0,2.43
2012,73,1,4,0,0,0,-1.41,100,0,3.435
2012,74,1,4,1,0,0,-0.75,100,0,4.096
2012,75,1,4,2,0,0,-0.07,100,0,4.14
2012,76,1,4,3,0,0,0.01,100,0,4.386
2012,77,1,4,4,0,0,-0.56,100,0,4.153
2012,78,1,4,5,0,0,-0.34,100,0,4.651
2012,79,1,4,6,0,0,-0.22,100,0,6.238
2012,80,1,4,7,0,0,-0.78,100,0,5.441
2012,81,1,4,8,0,3.36,-1.37,100,0,5.908
2012,82,1,4,9,0,79.56,-0.8,96.6,0,5.842
2012,83,1,4,10,0,218.49,0.66,87.3,0,5.532
2012,84,1,4,11,0,330.34,1.75,81,0,5.104
2012,85,1,4,12,0,369.22,2.88,77.7,0,4.683
2012,86,1,4,13,0,352.03,4.49,71.1,0,4.46
2012,87,1,4,14,0,382.11,5.92,62.59,0,5.407
2012,88,1,4,15,0,259.37,6.42,60.25,0,5.021
2012,89,1,4,16,0,161.22,6.66,60.32,0,3.439
2012,90,1,4,17,0,37.21,5.24,65.61,0,3.031
2012,91,1,4,18,0,0,2.25,75.5,0,2.934
2012,92,1,4,19,0,0,2.69,75.3,0,4.263
2012,93,1,4,20,0,0,1.9,80,0,4.096
2012,94,1,4,21,0,0,1.44,82.1,0,4.266
2012,95,1,4,22,0,0,1.62,63.79,0,4.453
2012,96,1,4,23,0,0,1.72,50.93,0,4.42
2012,97,1,5,0,0,0,1.06,37.4,0,4.21
2012,98,1,5,1,0,0,0.06,78.49,0,3.364
2012,99,1,5,2,0,0,0.25,100,0,3.318
2012,100,1,5,3,0,0,-0.01,100,0,3.201
2012,101,1,5,4,0,0,-0.34,100,0,3.131
2012,102,1,5,5,0,0,-0.72,100,0,2.691
2012,103,1,5,6,0,0,-0.99,100,0,2.628
2012,104,1,5,7,0,0,-0.49,98,0,3.301
2012,105,1,5,8,0,4.03,-0.46,95.8,0,3.068
2012,106,1,5,9,0,81.56,0.55,87.2,0,3.409
2012,107,1,5,10,0,199.6,3.73,74.8,0,4.213
2012,108,1,5,11,0,316.15,6.5,65.33,0,4.463
2012,109,1,5,12,0,379.01,9.45,56.3,0,4.981
2012,110,1,5,13,0,418.4,12.67,44.07,0,6.025
2012,111,1,5,14,0,381.41,15.19,37.24,0,5.838
2012,112,1,5,15,0,298.65,16.9,32.48,0,5.552
2012,113,1,5,16,0,182.11,16.72,33.63,0,3.675
2012,114,1,5,17,0,47.21,12.56,44.77,0,2.6
2012,115,1,5,18,0,0,11.22,45.13,0,3.985
2012,116,1,5,19,0,0,9.44,51.27,0,3.932
2012,117,1,5,20,0,0,8.32,54.94,0,3.665
2012,118,1,5,21,0,0,7.12,60.41,0,4.23
2012,119,1,5,22,0,0,6.39,64.4,0,3.675
2012,120,1,5,23,0,0,5.67,45.92,0,3.772
2012,121,1,6,0,0,0,5.33,35.32,0,3.735
2012,122,1,6,1,0,0,5.16,80.65,0,3.309
2012,123,1,6,2,0,0,4.05,37.78,0,2.868
2012,124,1,6,3,0,0,2.5,100,0,0.775
2012,125,1,6,4,0,0,2.15,100,0,1.352
2012,126,1,6,5,0,0,3.63,91.1,0,2.968
2012,127,1,6,6,0,0,3.37,90.6,0,1.466
2012,128,1,6,7,0,0,3.62,88.3,0,3.705
2012,129,1,6,8,0,4.7,4,84.6,0,4.28
2012,130,1,6,9,0,86.26,4.76,74.7,0,4.716
2012,131,1,6,10,0,184.41,6.04,69.44,0,5.584
2012,132,1,6,11,0,293.06,7,68.09,0,5.484
2012,133,1,6,12,0,172.62,7.46,65.82,0,5.838
2012,134,1,6,13,0,167.32,7.35,64.68,0,5.314
2012,135,1,6,14,0,336.84,8.89,53.02,0,5.402
2012,136,1,6,15,0,159.82,9.26,42.15,0,4.773
2012,137,1,6,16,0,56.3,8.1,52.69,0,3.612
2012,138,1,6,17,0,17.77,6.81,61.25,0,3.922
2012,139,1,6,18,0,0,5.22,69.05,0,4.523
2012,140,1,6,19,0,0,4.15,74,0,4.113
2012,141,1,6,20,0,0,3.13,77.9,0,4.931
2012,142,1,6,21,0,0,2.66,54.2,0,4.383
2012,143,1,6,22,0,0,1.64,39.19,0,4.693
2012,144,1,6,23,0,0,2.16,76.27,0,5.274
2012,145,1,7,0,0,0,3,100,0,5.788
2012,146,1,7,1,0,0,1.86,89,0,5.037
2012,147,1,7,2,0,0,0.79,93.5,0,4.854
2012,148,1,7,3,0,0,-0.7,93.4,0,3.712
2012,149,1,7,4,0,0,-1.67,94,0,3.569
2012,150,1,7,5,0,0,-1.93,92.7,0,3.482
2012,151,1,7,6,0,0,-2.72,96.7,0,2.858
2012,152,1,7,7,0,0,-3.73,99.1,0,3.445
2012,153,1,7,8,0,2.35,-4.22,98.9,0,3.792
2012,154,1,7,9,0,84.26,-3.15,92.6,0,3.993
2012,155,1,7,10,0,192.01,-0.75,86.9,0,3.275
2012,156,1,7,11,0,329.84,0.97,81.7,0,4.26
2012,157,1,7,12,0,336.74,1.95,76.7,0,3.782
2012,158,1,7,13,0,392.61,2.96,71.4,0,3.158
2012,159,1,7,14,0,374.12,4.23,66.57,0,2.784
2012,160,1,7,15,0,255.77,4.37,66.29,0,2.45
2012,161,1,7,16,0,160.92,4.16,68.12,0,2.28
2012,162,1,7,17,0,25.82,2.52,75.6,0,1.005
2012,163,1,7,18,0,0,0.85,83,0,0.447
2012,164,1,7,19,0,0,1.16,82.9,0,0.745
2012,165,1,7,20,0,0,0.29,88.2,0,0.605
2012,166,1,7,21,0,0,-0.09,64.99,0,0.46
2012,167,1,7,22,0,0,-1.87,47.67,0,0.447
2012,168,1,7,23,0,0,-2.51,91.48,0,0.447
2012,169,1,8,0,0,0,-3.1,100,0,0.447
2012,170,1,8,1,0,0,-2.4,100,0,0.447
2012,171,1,8,2,0,0,-2.33,100,0,0.447
2012,172,1,8,3,0,0,-3.14,100,0,0.447
2012,173,1,8,4,0,0,-3.59,100,0,0.731
2012,174,1,8,5,0,0,-3.99,100,0,0.835
2012,175,1,8,6,0,0,-3.96,100,0,2.461
2012,176,1,8,7,0,0,-4,100,0,1.997
