C_Year,Obs,C_Month,C_Day,C_Hour,C_Minute,dw_psp [Wm-2],temp [Co],rh [%],Precip [mm],windspd [ms-1]
2017,1,1,1,0,0,0,-5.59,86.4,0,17.235
2017,2,1,1,1,0,0,-5.72,86.6,0,21.854
2017,3,1,1,2,0,0,-5.93,89,0,21.32
2017,4,1,1,3,0,0,-6.73,90.1,0,15.04
2017,5,1,1,4,0,0,-6.57,89.3,0,14.461
2017,6,1,1,5,0,0,-6.92,88.4,0,17
2017,7,1,1,6,0,0,-6.83,89.8,0,15.673
2017,8,1,1,7,0,0,-7.04,90.3,0,15.17
2017,9,1,1,8,0,5.57,-7.65,91.2,0,13.334
2017,10,1,1,9,0,99.1,-5.97,86.1,0,15.439
2017,11,1,1,10,0,201.2,-3.44,83.3,0,17.609
2017,12,1,1,11,0,180.4,-2.26,84.2,0,19.624
2017,13,1,1,12,0,273.7,-0.89,79.15,0,18.123
2017,14,1,1,13,0,255.4,-0.11,75.88,0,15.773
2017,15,1,1,14,0,118.6,-0.07,76.09,0,12.526
2017,16,1,1,15,0,68.77,0.14,74.52,0,12.571
2017,17,1,1,16,0,38.81,0.37,73.04,0,14.172
2017,18,1,1,17,0,18.49,0.39,74.76,0,15.314
2017,19,1,1,18,0,0.1,0.28,77.22,0,14.446
2017,20,1,1,19,0,0,-0.23,77.76,0,13.708
2017,21,1,1,20,0,0,-0.74,81.1,0,17.175
2017,22,1,1,21,0,0,-0.85,79.64,0,23.041
2017,23,1,1,22,0,0,-0.82,79.75,0,21.58
2017,24,1,1,23,0,0,-0.79,82.1,0,20.183
2017,25,1,2,0,0,0,-0.67,77.62,0,17.933
2017,26,1,2,1,0,0,-0.33,78.4,0,18.322
2017,27,1,2,2,0,0,-0.26,79.04,0,17.22
2017,28,1,2,3,0,0,-0.08,79.33,0,17.933
2017,29,1,2,4,0,0,0.02,81.5,0,19.899
2017,30,1,2,5,0,0,0.05,84.3,0,19.529
2017,31,1,2,6,0,0,0.12,87,0,19.689
2017,32,1,2,7,0,0,0,90.9,0,19.445
2017,33,1,2,8,0,0.55,-0.05,92.8,0,21.056
2017,34,1,2,9,0,9.06,-0.09,92,0,16.826
2017,35,1,2,10,0,25.64,-0.09,97.4,0,16.945
2017,36,1,2,11,0,36.2,-0.22,99.3,0,18.572
2017,37,1,2,12,0,35.79,-0.1,100,0,18.063
2017,38,1,2,13,0,48.77,0.14,100,0,18.836
2017,39,1,2,14,0,44.07,0.48,100,0.76,19.39
2017,40,1,2,15,0,21.95,0.6,100,1.02,13.364
2017,41,1,2,16,0,13.25,0.73,100,0.76,17.315
2017,42,1,2,17,0,9.49,0.93,100,0.51,19.679
2017,43,1,2,18,0,0,0.94,100,0,6.106
2017,44,1,2,19,0,0,0.63,100,0.51,9.837
2017,45,1,2,20,0,0,0.46,100,0.25,8.296
2017,46,1,2,21,0,0,0.35,100,0,4.948
2017,47,1,2,22,0,0,0.36,100,0,9.832
2017,48,1,2,23,0,0,0.29,100,0.51,13.154
2017,49,1,3,0,0,0,0.24,100,0,13.329
2017,50,1,3,1,0,0,0.22,100,0,11.593
2017,51,1,3,2,0,0,0.17,99.6,0,16.377
2017,52,1,3,3,0,0,0.2,98.4,0,20.557
