date,doy,pet_mm
2018-01-01,1,0.237
2018-01-02,2,0.492
2018-01-03,3,0.393
2018-01-04,4,0.265
2018-01-05,5,0.388
2018-01-06,6,0.435
2018-01-07,7,0.704
2018-01-08,8,0.81
2018-01-09,9,0.823
2018-01-10,10,0.086
2018-01-11,11,0.283
2018-01-12,12,0.41
2018-01-13,13,0.432
2018-01-14,14,0.323
2018-01-15,15,0.307
2018-01-16,16,0.286
2018-01-17,17,0.845
2018-01-18,18,1.232
2018-01-19,19,1.334
2018-01-20,20,0.893
2018-01-21,21,0.012
2018-01-22,22,0.093
2018-01-23,23,0.489
2018-01-24,24,0.268
2018-01-25,25,1.048
2018-01-26,26,1.879
2018-01-27,27,1.672
2018-01-28,28,0.7
2018-01-29,29,0.7
2018-01-30,30,1.286
2018-01-31,31,0.932
2018-02-01,32,0.809
2018-02-02,33,0.554
2018-02-03,34,1.147
2018-02-04,35,0.657
2018-02-05,36,0.249
2018-02-06,37,0.385
2018-02-07,38,0.587
2018-02-08,39,0.462
2018-02-09,40,0.605
2018-02-10,41,0.517
2018-02-11,42,0.761
2018-02-12,43,0.805
2018-02-13,44,1.034
2018-02-14,45,1.219
2018-02-15,46,0.792
2018-02-16,47,1.106
2018-02-17,48,0.909
2018-02-18,49,1.994
2018-02-19,50,0.205
2018-02-20,51,0.451
2018-02-21,52,0.977
2018-02-22,53,0.363
2018-02-23,54,0.734
2018-02-24,55,0.2
2018-02-25,56,1.347
2018-02-26,57,2.179
2018-02-27,58,2.206
2018-02-28,59,1.124
2018-03-01,60,2.002
2018-03-02,61,2.092
2018-03-03,62,3.078
2018-03-04,63,3.296
2018-03-05,64,0.363
2018-03-06,65,0.959
2018-03-07,66,1.12
2018-03-08,67,1.293
2018-03-09,68,1.115
2018-03-10,69,1.551
2018-03-11,70,1.43
2018-03-12,71,2.459
2018-03-13,72,2.069
2018-03-14,73,3.395
2018-03-15,74,3.136
2018-03-16,75,1.33
2018-03-17,76,1.057
2018-03-18,77,0.517
2018-03-19,78,2.999
2018-03-20,79,1.272
2018-03-21,80,1.625
2018-03-22,81,1.826
2018-03-23,82,2.225
2018-03-24,83,0.739
2018-03-25,84,1.793
2018-03-26,85,0.545
2018-03-27,86,1.399
2018-03-28,87,1.961
2018-03-29,88,2.236
2018-03-30,89,2.875
2018-03-31,90,1.816
2018-04-01,91,1.676
2018-04-02,92,1.43
2018-04-03,93,0.451
2018-04-04,94,2.04
2018-04-05,95,3.084
2018-04-06,96,1.945
2018-04-07,97,2.712
2018-04-08,98,0.8
2018-04-09,99,1.445
2018-04-10,100,3.124
2018-04-11,101,2.702
2018-04-12,102,4.419
2018-04-13,103,1.791
2018-04-14,104,0.355
2018-04-15,105,1.29
2018-04-16,106,1.869
2018-04-17,107,3.132
2018-04-18,108,0.813
2018-04-19,109,3.631
2018-04-20,110,3.886
2018-04-21,111,3.762
2018-04-22,112,6.757
2018-04-23,113,6.511
2018-04-24,114,6.211
2018-04-25,115,5.16
2018-04-26,116,7.133
2018-04-27,117,8.76
2018-04-28,118,5.324
2018-04-29,119,9.3
2018-04-30,120,11.95
2018-05-01,121,2.444
2018-05-02,122,1.329
2018-05-03,123,1.043
2018-05-04,124,6.043
2018-05-05,125,7.023
2018-05-06,126,7.503
2018-05-07,127,8.08
2018-05-08,128,9.24
2018-05-09,129,6.264
2018-05-10,130,5.782
2018-05-11,131,3.003
2018-05-12,132,1.774
2018-05-13,133,1.46
2018-05-14,134,4.727
2018-05-15,135,5.544
2018-05-16,136,6.857
2018-05-17,137,8.12
2018-05-18,138,8.58
2018-05-19,139,3.891
2018-05-20,140,1.709
2018-05-21,141,1.702
2018-05-22,142,4.923
2018-05-23,143,7.374
2018-05-24,144,10.08
2018-05-25,145,7.646
2018-05-26,146,7.796
2018-05-27,147,8.01
2018-05-28,148,7.68
2018-05-29,149,8.12
2018-05-30,150,6.376
2018-05-31,151,8.6
2018-06-01,152,8.23
2018-06-02,153,5.798
2018-06-03,154,9.58
2018-06-04,155,9.98
2018-06-05,156,8.9
