C_Year,Obs,C_Month,C_Day,C_Hour,C_minute,dw_psp [Wm-2],temp [Co],rh [%],Precip [mm],windspd [ms-1]
2013,1,1,1,0,0,0,-15.23,90.4,0,2.888
2013,2,1,1,1,0,0,-16.62,91.4,0,2.764
2013,3,1,1,2,0,0,-17.16,91.3,0,3.682
2013,4,1,1,3,0,0,-17.72,68.38,0,2.988
2013,5,1,1,4,0,0,-18.39,48.97,0,2.831
2013,6,1,1,5,0,0,-18.55,100,0,3.094
2013,7,1,1,6,0,0,-19.06,100,0,2.954
2013,8,1,1,7,0,0,-19.67,100,0,2.25
2013,9,1,1,8,0,1.35,-20.07,100,0,1.916
2013,10,1,1,9,0,75.06,-19.53,98.5,0,2.477
2013,11,1,1,10,0,214.69,-17.98,85.9,0,2.31
2013,12,1,1,11,0,327.74,-15.02,79.7,0,1.486
2013,13,1,1,12,0,402.3,-12.31,72.5,0,1.276
2013,14,1,1,13,0,425.69,-12.18,77.9,0,3.168
2013,15,1,1,14,0,396.91,-11.71,74.8,0,2.994
2013,16,1,1,15,0,316.65,-11.28,74.2,0,3.301
2013,17,1,1,16,0,196.4,-10.94,74.5,0,2.864
2013,18,1,1,17,0,55.08,-11.71,76.9,0,2.367
2013,19,1,1,18,0,0,-13.68,83.4,0,1.786
2013,20,1,1,19,0,0,-14.3,83.4,0,1.836
2013,21,1,1,20,0,0,-14.68,85.1,0,1.576
2013,22,1,1,21,0,0,-15.3,88.2,0,1.589
2013,23,1,1,22,0,0,-15.1,87.8,0,2.12
2013,24,1,1,23,0,0,-15.11,89.1,0,1.699
2013,25,1,2,0,0,0,-15.92,90.7,0,1.546
2013,26,1,2,1,0,0,-16.24,92.9,0,1.92
2013,27,1,2,2,0,0,-15.58,92.3,0,2.524
2013,28,1,2,3,0,0,-15.1,75.6,0,2.864
2013,29,1,2,4,0,0,-15.01,61.99,0,2.808
2013,30,1,2,5,0,0,-15.35,85.78,0,2.598
2013,31,1,2,6,0,0,-15.58,100,0,2.38
2013,32,1,2,7,0,0,-15.72,100,0,2.548
2013,33,1,2,8,0,1.35,-15.3,100,0,2.48
2013,34,1,2,9,0,72.66,-15.19,100,0,1.993
2013,35,1,2,10,0,218.89,-12.58,97.5,0,2.794
2013,36,1,2,11,0,326.24,-9.66,93.9,0,3.885
2013,37,1,2,12,0,406,-7.68,89.1,0,4.42
2013,38,1,2,13,0,286.06,-6.92,91.3,0,5.047
2013,39,1,2,14,0,214.89,-5.7,92.2,0,4.403
2013,40,1,2,15,0,147.73,-5.16,95,0,4.516
2013,41,1,2,16,0,77.56,-4.4,96.9,0,3.785
2013,42,1,2,17,0,25.85,-3.88,98.9,0,4.136
2013,43,1,2,18,0,0,-3.48,100,0,4.51
2013,44,1,2,19,0,0,-2.86,100,0,3.955
2013,45,1,2,20,0,0,-2.27,100,0,3.905
2013,46,1,2,21,0,0,-1.96,100,0,4.166
2013,47,1,2,22,0,0,-1.85,99.1,0,4.977
2013,48,1,2,23,0,0,-2.14,92.4,0,5.815
2013,49,1,3,0,0,0,-2.47,92.7,0,3.902
2013,50,1,3,1,0,0,-2.65,93.8,0,2.964
2013,51,1,3,2,0,0,-2.99,99.2,0,3.429
2013,52,1,3,3,0,0,-2.14,99.6,0,5.134
2013,53,1,3,4,0,0,-1.89,98.8,0,5.705
2013,54,1,3,5,0,0,-3.05,99.1,0,4.093
2013,55,1,3,6,0,0,-6.25,98,0,5.565
2013,56,1,3,7,0,0,-7.02,97.8,0,3.982
2013,57,1,3,8,0,1.34,-8.25,91.1,0,5.668
2013,58,1,3,9,0,62.16,-10.09,89.02,0,4.25
2013,59,1,3,10,0,206,-10.89,89.8,0,5.702
2013,60,1,3,11,0,323.84,-11.19,87.2,0,6.729
2013,61,1,3,12,0,403,-10.93,86.7,0,6.369
2013,62,1,3,13,0,429.49,-10.54,86.7,0,5.918
2013,63,1,3,14,0,400.6,-10.07,86.1,0,6.235
2013,64,1,3,15,0,322.04,-9.64,85.1,0,5.374
2013,65,1,3,16,0,202.5,-9.52,85.8,0,5.434
2013,66,1,3,17,0,59.11,-10.1,88.3,0,4.166
2013,67,1,3,18,0,0,-11.11,92.3,0,3.815
2013,68,1,3,19,0,0,-12.56,95.5,0,2.808
2013,69,1,3,20,0,0,-12.14,98,0,2.36
2013,70,1,3,21,0,0,-11.89,97.5,0,2.751
2013,71,1,3,22,0,0,-13.32,99,0,1.957
2013,72,1,3,23,0,0,-14.56,99.7,0,2.003
2013,73,1,4,0,0,0,-12.76,99.8,0,3.479
2013,74,1,4,1,0,0,-11.61,98.9,0,4.71
2013,75,1,4,2,0,0,-11.79,98.8,0,4.21
2013,76,1,4,3,0,0,-11.42,99.1,0,5.084
2013,77,1,4,4,0,0,-11.09,99,0,4.496
2013,78,1,4,5,0,0,-10.82,99.5,0,4.693
2013,79,1,4,6,0,0,-10.2,69.45,0,4.48
2013,80,1,4,7,0,0,-9.08,34.9,0,6.018
2013,81,1,4,8,0,1.68,-8.68,61.66,0,6.513
2013,82,1,4,9,0,79.26,-8.61,49.78,0,4.306
2013,83,1,4,10,0,224.69,-7.98,95.3,0,2.884
2013,84,1,4,11,0,330.34,-5.71,91.3,0,4.977
2013,85,1,4,12,0,403.1,-3.84,86.5,0,5.114
2013,86,1,4,13,0,428.39,-2.34,81.5,0,4.786
2013,87,1,4,14,0,400.5,-1.33,79.4,0,4.406
2013,88,1,4,15,0,321.64,-0.58,77.9,0,4.41
2013,89,1,4,16,0,203.2,-0.62,77.2,0,3.825
2013,90,1,4,17,0,62.06,-1.79,82.6,0,3.885
2013,91,1,4,18,0,0,-3.83,88.4,0,3.429
2013,92,1,4,19,0,0,-4.79,90.3,0,3.234
2013,93,1,4,20,0,0,-5.45,92.7,0,2.503
2013,94,1,4,21,0,0,-6.36,95.1,0,1.322
2013,95,1,4,22,0,0,-7,97.6,0,3.004
2013,96,1,4,23,0,0,-5.81,95.9,0,4.286
2013,97,1,5,0,0,0,-6.37,97,0,3.719
2013,98,1,5,1,0,0,-7.47,98,0,3.154
2013,99,1,5,2,0,0,-8.51,98.8,0,1.659
2013,100,1,5,3,0,0,-7.89,100,0,1.369
2013,101,1,5,4,0,0,-8.12,100,0,2.07
2013,102,1,5,5,0,0,-8.63,100,0,2.528
2013,103,1,5,6,0,0,-9.14,100,0,2.317
2013,104,1,5,7,0,0,-10.05,100,0,1.702
2013,105,1,5,8,0,1.68,-9.63,100,0,2.31
2013,106,1,5,9,0,62.17,-7.85,75.2,0,3.422
2013,107,1,5,10,0,226.69,-5.37,98.6,0,3.264
2013,108,1,5,11,0,353.13,-3.1,96.7,0,3.98
2013,109,1,5,12,0,409.3,-0.45,94.4,0,6.285
2013,110,1,5,13,0,403.8,1.04,93.8,0,7.4
2013,111,1,5,14,0,199.9,1.51,94.9,0,7.12
2013,112,1,5,15,0,349.43,1.81,92.8,0,7.3
2013,113,1,5,16,0,196.9,1.13,92.5,0,7.28
2013,114,1,5,17,0,59.37,-0.69,93,0,8.602
2013,115,1,5,18,0,0,-2.96,89.8,0,7.3
2013,116,1,5,19,0,0,-4.05,89.6,0,5.665
2013,117,1,5,20,0,0,-4.47,91.6,0,7.21
2013,118,1,5,21,0,0,-3.75,91.9,0,8.141
2013,119,1,5,22,0,0,-3.9,92.8,0,6.799
2013,120,1,5,23,0,0,-4.55,94.7,0,7.069
2013,121,1,6,0,0,0,-5.45,95.2,0,6.633
2013,122,1,6,1,0,0,-6.09,95.2,0,7.41
2013,123,1,6,2,0,0,-7.27,95.4,0,7.01
2013,124,1,6,3,0,0,-8.32,95.5,0,5.812
2013,125,1,6,4,0,0,-9.45,93.3,0,6.032
2013,126,1,6,5,0,0,-10.18,92.3,0,5.615
2013,127,1,6,6,0,0,-10.65,88.5,0,5.708
2013,128,1,6,7,0,0,-11.1,88.9,0,6.015
2013,129,1,6,8,0,1.68,-11.34,73.9,0,5.845
2013,130,1,6,9,0,23.53,-10.43,87.2,0,5.087
2013,131,1,6,10,0,217.39,-9.19,89.5,0,3.822
2013,132,1,6,11,0,333.14,-7.95,87.5,0,3.599
2013,133,1,6,12,0,411.2,-7,88.2,0,4.3
2013,134,1,6,13,0,437.29,-6.41,88.4,0,3.672
2013,135,1,6,14,0,409.7,-5.06,84.9,0,3.114
2013,136,1,6,15,0,328.74,-4.16,82.8,0,3.275
2013,137,1,6,16,0,211,-4.57,85.9,0,3.769
2013,138,1,6,17,0,67.79,-5.18,89.4,0,2.507
2013,139,1,6,18,0,0,-7.21,96.3,0,1.816
2013,140,1,6,19,0,0,-8.78,98.6,0,1.762
2013,141,1,6,20,0,0,-8.26,97.2,0,1.882
2013,142,1,6,21,0,0,-8.72,97.7,0,2.393
2013,143,1,6,22,0,0,-9.34,97.9,0,2.26
2013,144,1,6,23,0,0,-7.91,96.8,0,2.624
2013,145,1,7,0,0,0,-7.78,96.2,0,2.457
2013,146,1,7,1,0,0,-8.29,97.8,0,2.383
2013,147,1,7,2,0,0,-7.82,97.2,0,2.754
2013,148,1,7,3,0,0,-7.46,96.3,0,3.249
2013,149,1,7,4,0,0,-7.04,94.7,0,3.492
2013,150,1,7,5,0,0,-5.83,93.2,0,4.082
2013,151,1,7,6,0,0,-4.86,91.5,0,4.296
2013,152,1,7,7,0,0,-3.84,89.5,0,5.111
2013,153,1,7,8,0,2.69,-3.44,88.8,0,5.404
2013,154,1,7,9,0,66.82,-2.11,86.6,0,4.847
2013,155,1,7,10,0,202.7,0.63,79.6,0,8.101
2013,156,1,7,11,0,244.18,1.55,78.5,0,8.231
2013,157,1,7,12,0,276.06,2.16,78.4,0,7.791
2013,158,1,7,13,0,387.01,2.91,79.8,0,4.623
2013,159,1,7,14,0,362.72,3.74,78.6,0,5.024
2013,160,1,7,15,0,225.29,3.77,78.4,0,4.22
2013,161,1,7,16,0,162.62,3.53,80,0,3.869
2013,162,1,7,17,0,37.56,2.3,87.2,0,2.698
2013,163,1,7,18,0,0,1.57,89.6,0,2.087
2013,164,1,7,19,0,0,0,96.6,0,0.447
2013,165,1,7,20,0,0,-0.15,96.6,0,0.447
2013,166,1,7,21,0,0,-0.41,96.9,0,1.152
2013,167,1,7,22,0,0,-1.78,100,0,1.011
2013,168,1,7,23,0,0,-2.25,100,0,0.447
2013,169,1,8,0,0,0,-1.8,99.6,0,0.447
2013,170,1,8,1,0,0,-2.59,100,0,0.765
2013,171,1,8,2,0,0,-3.65,100,0,1.131
2013,172,1,8,3,0,0,-5.03,100,0,1.539
2013,173,1,8,4,0,0,-5.34,100,0,1.706
2013,174,1,8,5,0,0,-4.88,100,0,1.907
2013,175,1,8,6,0,0,-4.67,100,0,2.794
2013,176,1,8,7,0,0,-4.59,100,0,2.661
2013,177,1,8,8,0,0.67,-5.49,100,0,2.498
2013,178,1,8,9,0,41.65,-5.61,100,0,2.02
2013,179,1,8,10,0,92.35,-4.45,99.8,0,2.34
2013,180,1,8,11,0,342.03,-1.73,97.8,0,3.158
2013,181,1,8,12,0,393.51,1.38,93.8,0,4.013
2013,182,1,8,13,0,389.91,2.45,91.2,0,3.772
2013,183,1,8,14,0,295.66,3,91.8,0,3.048
2013,184,1,8,15,0,314.15,4.18,87.4,0,2.811
2013,185,1,8,16,0,201.1,4.38,87.5,0,2.844
2013,186,1,8,17,0,61.68,3.36,91.6,0,2.373
2013,187,1,8,18,0,0,1.48,97.9,0,2.14
2013,188,1,8,19,0,0,2.25,95.7,0,3.402
2013,189,1,8,20,0,0,2.28,94.6,0,4.236
2013,190,1,8,21,0,0,2.09,94.2,0,4.686
2013,191,1,8,22,0,0,1.51,94,0,5.261
2013,192,1,8,23,0,0,1.07,96.5,0,6.409
2013,193,1,9,0,0,0,0.77,97.1,0,6.125
2013,194,1,9,1,0,0,-0.11,98.6,0,4.306
2013,195,1,9,2,0,0,-0.49,99.1,0,4.52
2013,196,1,9,3,0,0,-0.57,98.7,0,3.652
2013,197,1,9,4,0,0,-0.73,98.8,0,4.516
2013,198,1,9,5,0,0,-1.05,99,0,4.453
2013,199,1,9,6,0,0,-1.31,99.1,0,3.985
2013,200,1,9,7,0,0,-2.18,100,0,3.98
2013,201,1,9,8,0,1.68,-2.71,100,0,3.642
2013,202,1,9,9,0,33.91,-2.82,100,0,3.271
2013,203,1,9,10,0,144.33,-1.63,99.8,0,3.439
2013,204,1,9,11,0,316.05,0.53,96,0,6.386
2013,205,1,9,12,0,407.8,2.43,91.2,0,5.402
2013,206,1,9,13,0,427.09,3.62,89.5,0,4.596
2013,207,1,9,14,0,355.03,4.76,84.8,0,2.898
2013,208,1,9,15,0,307.95,5.78,78.8,0,1.916
2013,209,1,9,16,0,127.04,5.55,80.3,0,0.845
2013,210,1,9,17,0,37.54,2.82,91,0,0.761
2013,211,1,9,18,0,0,0.98,96.8,0,0.881
2013,212,1,9,19,0,0,0.23,98.2,0,1.051
2013,213,1,9,20,0,0,-0.18,98.5,0,1.446
2013,214,1,9,21,0,0,-0.62,99.5,0,2.03
2013,215,1,9,22,0,0,-0.51,99,0,1.927
2013,216,1,9,23,0,0,-0.29,97.3,0,2.711
2013,217,1,10,0,0,0,-0.76,97.4,0,2.167
2013,218,1,10,1,0,0,-1.25,97.8,0,1.747
2013,219,1,10,2,0,0,-1.3,97.4,0,1.993
2013,220,1,10,3,0,0,-1.98,97.8,0,1.849
2013,221,1,10,4,0,0,-2.55,97.9,0,1.86
2013,222,1,10,5,0,0,-2.06,95.6,0,2.513
2013,223,1,10,6,0,0,-1.66,93.8,0,3.084
2013,224,1,10,7,0,0,-1.55,96.6,0,2.794
2013,225,1,10,8,0,1.01,-1.9,98,0,2.15
2013,226,1,10,9,0,37.26,-1.95,98.2,0,1.769
