C_Year,Obs,C_Month,C_Day,C_Hour,C_Minute,dw_psp [Wm-2],temp [Co],rh [%],Precip [mm],windspd [ms-1]
2016,1,1,1,0,0,0,-7.19,89.9,0,23.74
2016,2,1,1,1,0,0,-5.66,89.3,0,30.808
2016,3,1,1,2,0,0,-5.23,88.2,0,36.36
2016,4,1,1,3,0,0,-5.66,87.8,0,41.603
2016,5,1,1,4,0,0,-5.69,86.6,0,34.699
2016,6,1,1,5,0,0,-5.77,88.6,0,28.104
2016,7,1,1,6,0,0,-7.16,90.9,0,29.112
2016,8,1,1,7,0,0,-8.36,91.2,0,32.335
2016,9,1,1,8,0,5.85,-8.62,90.5,0,29.756
2016,10,1,1,9,0,103.2,-7.68,85.9,0,32.779
2016,11,1,1,10,0,237.6,-5.98,79.93,0,34.949
2016,12,1,1,11,0,351.5,-3.93,75.36,0,38.859
2016,13,1,1,12,0,416.3,-2.15,75.99,0,41.104
2016,14,1,1,13,0,363.2,-2.03,75.33,0.25,49.135
2016,15,1,1,14,0,451.6,-0.95,71.36,0,49.135
2016,16,1,1,15,0,193,-0.99,78.02,0,44.047
2016,17,1,1,16,0,150,-1.6,80.1,0,38.341
2016,18,1,1,17,0,52.42,-2.55,81.4,0,36.964
2016,19,1,1,18,0,0.4,-3.93,80.2,0,33.317
2016,20,1,1,19,0,0,-5,85.7,0,26.822
2016,21,1,1,20,0,0,-5.52,80,0,23.455
2016,22,1,1,21,0,0,-5.22,82.3,0,22.044
2016,23,1,1,22,0,0,-6.34,84.8,0,19.3
2016,24,1,1,23,0,0,-7.67,86.9,0,16.167
2016,25,1,2,0,0,0,-7.64,89.8,0,20.023
2016,26,1,2,1,0,0,-8.53,90.7,0,19.195
2016,27,1,2,2,0,0,-9.99,92.6,0,19.43
2016,28,1,2,3,0,0,-9.8,92.5,0,22.612
2016,29,1,2,4,0,0,-10.88,93,0,21.545
2016,30,1,2,5,0,0,-10.02,93.7,0,20.432
2016,31,1,2,6,0,0,-11.14,95.3,0,15.274
2016,32,1,2,7,0,0,-10.6,93.5,0,19.684
2016,33,1,2,8,0,5.94,-10.92,94.1,0,22.138
2016,34,1,2,9,0,108.1,-11.6,91.5,0,17.848
2016,35,1,2,10,0,242.2,-9.45,89.5,0,22.168
2016,36,1,2,11,0,357.1,-7.1,86.2,0,28.339
2016,37,1,2,12,0,428.2,-5.24,83.7,0,26.393
2016,38,1,2,13,0,444.2,-3.79,82.7,0,39.523
2016,39,1,2,14,0,403.6,-2.62,79.12,0,40.106
2016,40,1,2,15,0,315.2,-1.8,80,0,31.691
2016,41,1,2,16,0,190.3,-1.99,76.96,0,32.599
2016,42,1,2,17,0,57.45,-2.43,77.69,0,36.51
2016,43,1,2,18,0,0.48,-3.58,77.99,0,27.007
2016,44,1,2,19,0,0,-4.06,80.3,0,25.994
2016,45,1,2,20,0,0,-4.67,80.6,0,25.496
2016,46,1,2,21,0,0,-4.94,81.8,0,29.352
2016,47,1,2,22,0,0,-5.2,82.4,0,25.69
