C_Year,Obs,C_Month,C_Day,C_Hour,C_Minute,dw_psp..Wm.2.,temp..Co.,rh....,Precip..mm.,windspd..ms.1.,doy
2019,1,1,1,0,0,0,-8.53,91.2,0,6.45,1
2019,2,1,1,1,0,0,-9.52,90.8,0,5.431,1
2019,3,1,1,2,0,0,-10,89.3,0,5.119,1
2019,4,1,1,3,0,0,-10.65,87.7,0,5.559,1
2019,5,1,1,4,0,0,-11.53,86.3,0,4.957,1
2019,6,1,1,5,0,0,-12.61,86.5,0,4.073,1
2019,7,1,1,6,0,0,-12.91,84.6,0,3.667,1
2019,8,1,1,7,0,0,-12.73,85.5,0,3.798,1
2019,9,1,1,8,0,3.638,-13.43,85.3,0,4.325,1
2019,10,1,1,9,0,35.39,-14.56,84.9,0,4.331,1
2019,11,1,1,10,0,220.4,-14.17,82.6,0,3.565,1
2019,12,1,1,11,0,324.5,-13.25,82.2,0,3.43,1
2019,13,1,1,12,0,372.1,-12.22,82.8,0,2.828,1
2019,14,1,1,13,0,323.9,-11.3,79.39,0,2.634,1
2019,15,1,1,14,0,252.7,-10.54,81.1,0,2.616,1
2019,16,1,1,15,0,233.2,-9.94,78.7,0,2.262,1
2019,17,1,1,16,0,129.7,-9.79,81.2,0,1.862,1
2019,18,1,1,17,0,25.48,-10.52,84.3,0,1.134,1
2019,19,1,1,18,0,0.229,-10.86,87.7,0,1.292,1
2019,20,1,1,19,0,0,-11.21,88.6,0,0.335,1
2019,21,1,1,20,0,0,-11.13,89.7,0,1.494,1
2019,22,1,1,21,0,0,-11.39,89.8,0,1.682,1
2019,23,1,1,22,0,0,-11.75,90.4,0,0.68,1
2019,24,1,1,23,0,0,-11.13,87,0,1.837,1
2019,25,1,2,0,0,0,-10.76,86.6,0,2.579,2
2019,26,1,2,1,0,0,-10.36,86.4,0,2.978,2
2019,27,1,2,2,0,0,-9.91,87.2,0,3.345,2
2019,28,1,2,3,0,0,-9.55,88.2,0,3.57,2
2019,29,1,2,4,0,0,-9.18,89.2,0,3.666,2
2019,30,1,2,5,0,0,-8.83,89.7,0,4.524,2
2019,31,1,2,6,0,0,-8.72,90.7,0,5.238,2
2019,32,1,2,7,0,0,-8.66,90.8,0,5.712,2
2019,33,1,2,8,0,1.032,-8.57,90.2,0,5.368,2
2019,34,1,2,9,0,33.93,-8.43,87.3,0,5.517,2
2019,35,1,2,10,0,179.3,-7.602,81.1,0,5.907,2
2019,36,1,2,11,0,337.6,-6.195,75.97,0,7.71,2
2019,37,1,2,12,0,403,-4.46,70.79,0,7.527,2
2019,38,1,2,13,0,421.2,-2.883,67.41,0,8.075,2
2019,39,1,2,14,0,387.6,-1.194,63.35,0,7.523,2
2019,40,1,2,15,0,303.4,-0.169,61.23,0,6.276,2
2019,41,1,2,16,0,183.6,0.116,63.86,0,6.183,2
2019,42,1,2,17,0,54.86,-0.409,71.3,0,5.531,2
2019,43,1,2,18,0,0.482,-1.605,74.71,0,5.16,2
2019,44,1,2,19,0,0,-2.262,78.07,0,4.016,2
2019,45,1,2,20,0,0,-3.342,80.7,0,2.609,2
2019,46,1,2,21,0,0,-3.506,81.5,0,3.798,2
2019,47,1,2,22,0,0,-4.097,84.1,0,3.454,2
2019,48,1,2,23,0,0,-4.627,86,0,3.468,2
2019,49,1,3,0,0,0,-4.532,84.4,0,3.939,3
2019,50,1,3,1,0,0,-4.465,85.4,0,4.114,3
2019,51,1,3,2,0,0,-4.637,88.1,0,4.068,3
2019,52,1,3,3,0,0,-4.741,88.4,0,3.737,3
2019,53,1,3,4,0,0,-5.44,91.5,0,3.263,3
2019,54,1,3,5,0,0,-5.764,89.2,0,3.607,3
2019,55,1,3,6,0,0,-5.963,90.4,0,3.466,3
2019,56,1,3,7,0,0,-5.891,90.3,0,3.255,3
2019,57,1,3,8,0,6.654,-5.059,86.8,0,4.363,3
2019,58,1,3,9,0,90.9,-3.749,84.2,0,4.761,3
2019,59,1,3,10,0,206.3,-2.105,77.81,0,4.193,3
2019,60,1,3,11,0,326,0.336,72.21,0,4.693,3
2019,61,1,3,12,0,396.3,3.056,64.47,0,4.985,3
2019,62,1,3,13,0,415.3,5.387,60.43,0,5.296,3
2019,63,1,3,14,0,381.6,7.397,54.19,0,5.961,3
2019,64,1,3,15,0,300,8.93,51.69,0,5.444,3
2019,65,1,3,16,0,183.5,8.56,56.64,0,4.894,3
2019,66,1,3,17,0,57.51,6.952,62.44,0,4.813,3
2019,67,1,3,18,0,0.677,5.258,63.56,0,4.274,3
2019,68,1,3,19,0,0,3.821,71.66,0,3.982,3
2019,69,1,3,20,0,0,4.183,72.47,0,5.913,3
2019,70,1,3,21,0,0,3.633,75.76,0,5.98,3
2019,71,1,3,22,0,0,3.094,76.6,0,5.484,3
2019,72,1,3,23,0,0,2.27,80.9,0,4.218,3
2019,73,1,4,0,0,0,1.168,84.4,0,3.119,4
2019,74,1,4,1,0,0,0.597,83.9,0,3.12,4
2019,75,1,4,2,0,0,0.826,86.5,0,4.292,4
2019,76,1,4,3,0,0,0.273,84.4,0,4.056,4
2019,77,1,4,4,0,0,-0.241,87.4,0,2.896,4
2019,78,1,4,5,0,0,-1.264,89,0,2.43,4
2019,79,1,4,6,0,0,-1.104,88,0,2.693,4
2019,80,1,4,7,0,0,-1.689,88.8,0,3.001,4
2019,81,1,4,8,0,4.749,-1.604,91.2,0,2.985,4
2019,82,1,4,9,0,97,-0.323,84.8,0,3.612,4
2019,83,1,4,10,0,222.9,2.165,74.77,0,4.13,4
2019,84,1,4,11,0,330.6,4.898,71.73,0,3.895,4
2019,85,1,4,12,0,398.5,6.51,66.47,0,4.046,4
2019,86,1,4,13,0,417.1,8.42,64.92,0,3.589,4
2019,87,1,4,14,0,384.3,9.57,63.95,0,3.534,4
2019,88,1,4,15,0,301.6,9.88,69.59,0,3.29,4
2019,89,1,4,16,0,185.4,9.48,70.02,0,2.841,4
2019,90,1,4,17,0,59.58,6.572,86.1,0,2.238,4
2019,91,1,4,18,0,0.604,5.043,83.8,0,1.841,4
2019,92,1,4,19,0,0,2.757,93.7,0,1.172,4
2019,93,1,4,20,0,0,2.266,92.7,0,2.378,4
2019,94,1,4,21,0,0,1.83,92,0,3.053,4
2019,95,1,4,22,0,0,1.882,92.4,0,2.989,4
2019,96,1,4,23,0,0,2.337,89.5,0,3.447,4
2019,97,1,5,0,0,0,2.537,89.4,0,4.207,5
2019,98,1,5,1,0,0,2.168,87.2,0,4.113,5
2019,99,1,5,2,0,0,0.944,94.9,0,3.933,5
2019,100,1,5,3,0,0,1.134,90,0,4.788,5
2019,101,1,5,4,0,0,1.302,87,0,3.965,5
2019,102,1,5,5,0,0,0.753,94.1,0,3.706,5
2019,103,1,5,6,0,0,-0.15,94.9,0,3.545,5
2019,104,1,5,7,0,0,0.012,93.8,0,2.594,5
2019,105,1,5,8,0,5.397,-0.184,93.8,0,1.883,5
2019,106,1,5,9,0,99.9,0.627,91,0,3.652,5
2019,107,1,5,10,0,233.4,2.915,84.8,0,4.445,5
2019,108,1,5,11,0,335.8,5.452,78.87,0,4.559,5
2019,109,1,5,12,0,405.5,7.373,74.55,0,4.442,5
2019,110,1,5,13,0,409,9.61,64.82,0,2.73,5
2019,111,1,5,14,0,388.9,11.33,66.65,0,2.761,5
2019,112,1,5,15,0,311.5,11.45,70.73,0,2.955,5
2019,113,1,5,16,0,187.9,11.57,67.19,0,1.768,5
2019,114,1,5,17,0,60.94,9.72,81.5,0,0.963,5
2019,115,1,5,18,0,0.501,6.757,81.5,0,0.68,5
2019,116,1,5,19,0,0,5.769,83,0,1.199,5
2019,117,1,5,20,0,0,4.554,88.4,0,1.745,5
2019,118,1,5,21,0,0,3.347,88.7,0,1.817,5
2019,119,1,5,22,0,0,2.319,90.3,0,2.153,5
2019,120,1,5,23,0,0,1.257,92.9,0,2.22,5
2019,121,1,6,0,0,0,0.633,94.8,0,2.452,6
2019,122,1,6,1,0,0,-0.025,95.8,0,1.967,6
2019,123,1,6,2,0,0,-0.195,96.4,0,2.003,6
2019,124,1,6,3,0,0,-0.323,97.1,0,2.491,6
2019,125,1,6,4,0,0,-0.432,98.3,0,2.463,6
2019,126,1,6,5,0,0,-0.462,98.1,0,2.985,6
2019,127,1,6,6,0,0,0.116,96,0,3.439,6
2019,128,1,6,7,0,0,0.346,96.2,0,3.417,6
2019,129,1,6,8,0,1.671,0.547,95.1,0,5.557,6
2019,130,1,6,9,0,34.59,0.769,94.7,0,5.11,6
2019,131,1,6,10,0,108.4,1.36,93.4,0,5.721,6
2019,132,1,6,11,0,160.9,1.949,91.6,0,6.073,6
2019,133,1,6,12,0,166,2.679,89.9,0,6.067,6
2019,134,1,6,13,0,170.8,3.393,88.6,0,6.371,6
2019,135,1,6,14,0,162.2,3.761,90.6,0,6.843,6
2019,136,1,6,15,0,98.6,3.695,91,0,7.714,6
2019,137,1,6,16,0,53.1,3.723,92.3,0,7.832,6
2019,138,1,6,17,0,6.146,3.45,93.2,0,8.483,6
2019,139,1,6,18,0,0,3.504,93.6,0,8.922,6
2019,140,1,6,19,0,0,3.878,92.5,0,8.533,6
2019,141,1,6,20,0,0,4.082,94.1,0,8.274,6
2019,142,1,6,21,0,0,4.069,96.8,0,7.73,6
2019,143,1,6,22,0,0,4.143,98.6,0,6.848,6
