date,doy,pet_mm
2016-01-01,1,0.838
2016-01-02,2,0.665
2016-01-03,3,0.369
2016-01-04,4,0.309
2016-01-05,5,0.611
2016-01-06,6,0.368
2016-01-07,7,0.2
2016-01-08,8,0.221
2016-01-09,9,0.374
2016-01-10,10,0.289
2016-01-11,11,0.432
2016-01-12,12,0.376
2016-01-13,13,0.681
2016-01-14,14,0.952
2016-01-15,15,0.401
2016-01-16,16,0.385
2016-01-17,17,0.328
2016-01-18,18,0.28
2016-01-19,19,0.281
2016-01-20,20,0.346
2016-01-21,21,0.536
2016-01-22,22,0.394
2016-01-23,23,0.331
2016-01-24,24,0.295
2016-01-25,25,0.198
2016-01-26,26,0.543
2016-01-27,27,0.92
2016-01-28,28,0.756
2016-01-29,29,0.701
2016-01-30,30,0.749
2016-01-31,31,0.638
2016-02-01,32,0.801
2016-02-02,33,0.161
2016-02-03,34,0.605
2016-02-04,35,0.802
2016-02-05,36,0.478
2016-02-06,37,0.641
2016-02-07,38,1.367
2016-02-08,39,0.503
2016-02-09,40,0.699
2016-02-10,41,0.429
2016-02-11,42,0.625
2016-02-12,43,0.793
2016-02-13,44,0.554
2016-02-14,45,0.512
2016-02-15,46,0.673
2016-02-16,47,0.315
2016-02-17,48,0.692
2016-02-18,49,0.762
2016-02-19,50,2.515
2016-02-20,51,1.771
2016-02-21,52,0.471
2016-02-22,53,0.799
2016-02-23,54,0.629
2016-02-24,55,0.705
2016-02-25,56,0.782
2016-02-26,57,1.84
2016-02-27,58,4.439
2016-02-28,59,2.149
2016-02-29,60,1.449
2016-03-01,61,0.885
2016-03-02,62,1.063
2016-03-03,63,0.451
2016-03-04,64,1.017
2016-03-05,65,1.298
2016-03-06,66,3.487
2016-03-07,67,3.36
2016-03-08,68,4.521
2016-03-09,69,1.559
2016-03-10,70,2.406
2016-03-11,71,4.121
2016-03-12,72,1.398
2016-03-13,73,0.592
2016-03-14,74,2.022
2016-03-15,75,1.638
2016-03-16,76,4.723
2016-03-17,77,4.917
2016-03-18,78,2.447
2016-03-19,79,0.789
2016-03-20,80,2.008
2016-03-21,81,4.463
2016-03-22,82,2.611
2016-03-23,83,0.471
2016-03-24,84,0.979
2016-03-25,85,2.863
2016-03-26,86,1.102
2016-03-27,87,1.231
2016-03-28,88,4.655
2016-03-29,89,6.293
2016-03-30,90,3.308
2016-03-31,91,1.666
2016-04-01,92,2.226
2016-04-02,93,3.983
2016-04-03,94,10.49
2016-04-04,95,3.607
2016-04-05,96,2.742
2016-04-06,97,2.421
2016-04-07,98,2.05
2016-04-08,99,4.273
2016-04-09,100,4.277
2016-04-10,101,4.526
2016-04-11,102,4.693
